weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,MapillarySLS_R1,MapillarySLS_R5,MapillarySLS_R10,MapillarySLS_map_memory,MapillarySLS_total_memory,MapillarySLS_matching_lat,MapillarySLS_total_cpu_lat_bs1,MapillarySLS_total_gpu_lat_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1,SVOX_R1,SVOX_R5,SVOX_R10,SVOX_map_memory,SVOX_total_memory,SVOX_matching_lat,SVOX_total_cpu_lat_bs1,SVOX_total_gpu_lat_bs1
ResNet34_MixVPR_agg_0.00_sparsity_0.064_R1_0.929.ckpt,ResNet34_MixVPR,0.064,,6554730496.0,36.34991455078125,279.5534133911133,34.0964674949646,,,,,,33.4444522857666,313.67563009262085,68.60226392745972,,,,,,17.515897750854492,297.9607820510864,51.510822772979736,,,,,,2.079296112060547,281.78250789642334,36.39744520187378,,,,,,30.190157890319824,309.7435712814331,64.28662538528442
ResNet34_MixVPR_agg_0.00_sparsity_0.126_R1_0.930.ckpt,ResNet34_MixVPR,0.126,,6554730496.0,36.34991455078125,264.56679105758667,26.92546844482422,,,,,,31.507682800292965,378.838586807251,58.805036544799805,,,,,,17.171525955200195,282.1652054786682,43.77343654632568,,,,,,1.9574403762817385,266.3092374801636,30.61758279800415,,,,,,28.804731369018555,293.3715224266052,55.73019981384277
ResNet34_MixVPR_agg_0.00_sparsity_0.185_R1_0.926.ckpt,ResNet34_MixVPR,0.185,,6554730496.0,36.34991455078125,251.62994861602783,28.07612419128418,,,,,,30.248403549194336,356.7257285118103,58.52952003479004,,,,,,15.644145011901855,266.04769229888916,44.0549373626709,,,,,,1.8251657485961912,252.74457931518555,30.367636680603027,,,,,,27.347207069396973,278.9771556854248,55.42333126068115
ResNet34_MixVPR_agg_0.00_sparsity_0.241_R1_0.925.ckpt,ResNet34_MixVPR,0.241,,6554730496.0,36.34991455078125,237.3157501220703,25.225353240966797,,,,,,28.197932243347168,343.5268521308899,53.8662314414978,,,,,,14.945268630981444,252.40072011947632,40.43799638748169,,,,,,1.9654750823974607,238.54941129684448,30.798447132110596,,,,,,25.677847862243652,262.99359798431396,50.90320110321045
ResNet34_MixVPR_agg_0.00_sparsity_0.295_R1_0.927.ckpt,ResNet34_MixVPR,0.295,,6554730496.0,36.34991455078125,224.61819648742676,25.652003288269043,,,,,,26.63884162902832,345.64348459243774,52.735984325408936,,,,,,14.159154891967772,238.37151527404785,40.23381471633911,,,,,,1.6893863677978516,226.2848138809204,28.020501136779785,,,,,,24.120473861694336,248.7386703491211,49.77247714996338
ResNet34_MixVPR_agg_0.00_sparsity_0.346_R1_0.930.ckpt,ResNet34_MixVPR,0.346,,6554730496.0,36.34991455078125,212.51347064971924,26.631176471710205,,,,,,25.03805160522461,319.1152095794678,52.45643854141235,,,,,,13.606715202331545,226.717472076416,47.82439470291138,,,,,,1.536417007446289,215.93950986862183,30.617094039916992,,,,,,22.659873962402344,235.1733446121216,49.29105043411255
ResNet34_MixVPR_agg_0.00_sparsity_0.395_R1_0.923.ckpt,ResNet34_MixVPR,0.395,,6554730496.0,36.34991455078125,200.84731578826904,24.39448833465576,,,,,,23.6447811126709,311.7619514465332,48.62798452377319,,,,,,12.233471870422363,213.01240921020508,37.49096393585205,,,,,,1.4093637466430664,201.79277658462524,26.131153106689453,,,,,,21.68617248535156,222.5334882736206,46.08066082000733
ResNet34_MixVPR_agg_0.00_sparsity_0.441_R1_0.923.ckpt,ResNet34_MixVPR,0.441,,6554730496.0,36.34991455078125,189.1419529914856,23.362302780151367,,,,,,21.607184410095215,304.498815536499,44.94576454162598,,,,,,11.34483814239502,201.12279653549191,35.16354560852051,,,,,,1.3135671615600586,190.6111001968384,25.080835819244385,,,,,,19.864773750305176,209.00672674179077,43.22707653045654
ResNet34_MixVPR_agg_0.00_sparsity_0.485_R1_0.921.ckpt,ResNet34_MixVPR,0.485,,6554730496.0,36.34991455078125,180.0673007965088,22.1142053604126,,,,,,19.91422176361084,304.63194847106934,42.94980764389038,,,,,,10.853099822998049,190.06766080856323,33.81780385971069,,,,,,1.2024164199829102,179.9375057220459,24.00110960006714,,,,,,18.02694797515869,198.09424877166748,40.14115333557129
ResNet34_MixVPR_agg_0.00_sparsity_0.526_R1_0.916.ckpt,ResNet34_MixVPR,0.526,,6554730496.0,36.34991455078125,175.71415901184082,22.731351852416992,,,,,,18.32454204559326,302.6210904121399,40.63845872879028,,,,,,9.653687477111816,178.13290357589722,32.12580680847168,,,,,,1.1612176895141602,170.49959897994995,24.09919500350952,,,,,,16.658687591552734,192.37284660339355,39.39003944396973
ResNet34_MixVPR_agg_0.00_sparsity_0.565_R1_0.914.ckpt,ResNet34_MixVPR,0.565,,6554730496.0,36.34991455078125,160.05542278289795,21.301376819610596,,,,,,16.596651077270508,274.5995283126831,38.41468095779419,,,,,,8.802580833435059,168.7907099723816,30.006837844848633,,,,,,1.1085271835327148,160.64741611480713,22.346079349517822,,,,,,15.009260177612305,175.06468296051025,36.3106369972229
ResNet34_MixVPR_agg_0.00_sparsity_0.601_R1_0.910.ckpt,ResNet34_MixVPR,0.601,,6554730496.0,36.34991455078125,149.88110065460205,18.965041637420654,,,,,,14.886951446533203,271.62855863571167,34.26692485809326,,,,,,7.842969894409181,157.77474641799927,26.69050693511963,,,,,,0.915217399597168,151.22661590576172,19.42272186279297,,,,,,13.56515884399414,163.4462594985962,32.530200481414795
ResNet34_MixVPR_agg_0.00_sparsity_0.634_R1_0.902.ckpt,ResNet34_MixVPR,0.634,,6554730496.0,36.34991455078125,141.91462993621826,17.625105381011963,,,,,,13.34054470062256,236.5881085395813,31.315147876739506,,,,,,6.965541839599609,148.8147258758545,25.056827068328857,,,,,,0.8572816848754883,143.56034994125366,18.54766607284546,,,,,,12.049126625061035,153.9637565612793,29.674232006073
ResNet34_MixVPR_agg_0.00_sparsity_0.666_R1_0.894.ckpt,ResNet34_MixVPR,0.666,,6554730496.0,36.34991455078125,134.15194749832153,16.314470767974854,,,,,,12.11984157562256,255.68667650222775,32.02934265136719,,,,,,6.112432479858398,140.7534122467041,23.851287364959717,,,,,,0.687718391418457,135.557222366333,16.40756130218506,,,,,,10.553598403930664,144.7055459022522,26.86806917190552
ResNet34_MixVPR_agg_0.00_sparsity_0.677_R1_0.896.ckpt,ResNet34_MixVPR,0.677,,6554730496.0,36.34991455078125,132.28687047958374,16.452646255493164,,,,,,10.03117561340332,236.57684326171875,26.36127471923828,,,,,,5.508232116699219,136.14245653152466,21.54078483581543,,,,,,0.5643844604492188,131.607186794281,17.19067096710205,,,,,,9.080147743225098,141.36701822280884,25.53279399871826
ResNet34_MixVPR_agg_0.25_sparsity_0.064_R1_0.928.ckpt,ResNet34_MixVPR,0.064,,6554730496.0,36.34991455078125,279.66567277908325,33.937740325927734,,,,,,33.11178684234619,393.3939218521118,68.06737184524536,,,,,,17.40565299987793,298.2953190803528,51.3034462928772,,,,,,1.9773960113525388,281.74681663513184,38.223862648010254,,,,,,31.316423416137695,310.98209619522095,65.25416374206543
ResNet34_MixVPR_agg_0.25_sparsity_0.126_R1_0.930.ckpt,ResNet34_MixVPR,0.126,,6554730496.0,36.34991455078125,264.5444393157959,27.465355396270752,,,,,,31.300044059753414,371.23910188674927,57.92611837387085,,,,,,16.590094566345215,282.03015327453613,43.72060298919678,,,,,,1.874589920043945,267.12067127227783,29.004478454589844,,,,,,28.87632846832275,293.42076778411865,56.341683864593506
ResNet34_MixVPR_agg_0.25_sparsity_0.185_R1_0.929.ckpt,ResNet34_MixVPR,0.185,,6554730496.0,36.34991455078125,252.38521099090576,28.51395606994629,,,,,,29.837656021118164,357.46530294418335,58.55250358581543,,,,,,15.693354606628418,267.8821086883545,44.0875768661499,,,,,,1.8204212188720703,253.99062633514404,29.937243461608887,,,,,,27.09202766418457,279.47723865509033,55.60598373413086
ResNet34_MixVPR_agg_0.25_sparsity_0.241_R1_0.921.ckpt,ResNet34_MixVPR,0.241,,6554730496.0,36.34991455078125,239.93940353393555,25.666534900665283,,,,,,28.139972686767575,350.2021312713623,53.355348110198975,,,,,,14.868664741516112,252.57221460342407,40.63910245895386,,,,,,1.7471790313720703,239.1523003578186,27.38393545150757,,,,,,25.62541961669922,265.56482315063477,51.2919545173645
ResNet34_MixVPR_agg_0.25_sparsity_0.295_R1_0.928.ckpt,ResNet34_MixVPR,0.295,,6554730496.0,36.34991455078125,225.25207996368408,25.779008865356445,,,,,,26.466917991638184,350.3710627555847,52.88665294647217,,,,,,14.01684284210205,238.68539333343503,40.36456346511841,,,,,,1.644611358642578,227.01587677001953,27.76397466659546,,,,,,24.373888969421387,249.62596893310547,50.15289783477783
ResNet34_MixVPR_agg_0.25_sparsity_0.346_R1_0.926.ckpt,ResNet34_MixVPR,0.346,,6554730496.0,36.34991455078125,211.86156272888184,27.499854564666748,,,,,,24.763774871826172,311.37293577194214,51.89152956008911,,,,,,13.031673431396484,226.636803150177,40.24556875228882,,,,,,1.5295743942260742,213.89602422714233,28.04962396621704,,,,,,22.63853549957275,234.5000982284546,50.1383900642395
ResNet34_MixVPR_agg_0.25_sparsity_0.395_R1_0.923.ckpt,ResNet34_MixVPR,0.395,,6554730496.0,36.34991455078125,201.3381600379944,24.377810955047607,,,,,,23.115158081054688,317.19963550567627,48.41724634170532,,,,,,12.1551513671875,213.81099224090576,36.74490451812744,,,,,,1.440286636352539,203.1468629837036,27.01554298400879,,,,,,21.089625358581543,222.42778539657593,45.46743631362915
ResNet34_MixVPR_agg_0.25_sparsity_0.441_R1_0.921.ckpt,ResNet34_MixVPR,0.441,,6554730496.0,36.34991455078125,189.57371711730957,23.593509197235107,,,,,,21.49639129638672,315.40833711624146,44.80154514312744,,,,,,11.290907859802246,200.5455017089844,34.374988079071045,,,,,,1.1915922164916992,191.5209054946899,24.776995182037354,,,,,,19.674277305603027,209.2479944229126,43.267786502838135
ResNet34_MixVPR_agg_0.25_sparsity_0.485_R1_0.918.ckpt,ResNet34_MixVPR,0.485,,6554730496.0,36.34991455078125,178.9207935333252,22.642529010772705,,,,,,20.07157802581787,311.9737982749939,42.691636085510254,,,,,,10.401320457458496,189.55519199371335,32.46407508850098,,,,,,1.1108636856079102,180.50960302352905,23.659563064575195,,,,,,18.248319625854492,197.1691131591797,40.8908486366272
ResNet34_MixVPR_agg_0.25_sparsity_0.526_R1_0.919.ckpt,ResNet34_MixVPR,0.526,,6554730496.0,36.34991455078125,169.19337511062622,22.6812481880188,,,,,,18.196749687194824,300.5493998527527,40.67503213882446,,,,,,9.520888328552246,178.70073318481445,31.991958618164062,,,,,,1.088571548461914,169.9156403541565,23.214519023895264,,,,,,16.64421558380127,185.8375906944275,39.32546377182007
ResNet34_MixVPR_agg_0.25_sparsity_0.565_R1_0.920.ckpt,ResNet34_MixVPR,0.565,,6554730496.0,36.34991455078125,159.7426414489746,21.46275043487549,,,,,,16.550850868225098,276.58482789993286,38.65969181060791,,,,,,8.612298965454102,168.01084280014038,29.588890075683594,,,,,,0.9889125823974608,160.78535318374634,21.97641134262085,,,,,,15.203356742858888,174.9459981918335,36.666107177734375
ResNet34_MixVPR_agg_0.25_sparsity_0.601_R1_0.911.ckpt,ResNet34_MixVPR,0.601,,6554730496.0,36.34991455078125,156.20969533920288,18.45303773880005,,,,,,14.83163833618164,254.20475006103516,34.04040336608887,,,,,,7.801008224487305,157.69160985946655,26.95072889328003,,,,,,0.8952140808105469,151.250159740448,19.80363130569458,,,,,,13.494563102722168,169.70425844192505,31.947600841522217
ResNet34_MixVPR_agg_0.25_sparsity_0.634_R1_0.905.ckpt,ResNet34_MixVPR,0.634,,6554730496.0,36.34991455078125,141.96172952651978,17.91203022003174,,,,,,13.341069221496582,279.9259543418884,31.452298164367676,,,,,,7.334542274475098,148.97160530090332,25.374317169189453,,,,,,0.8494853973388672,142.24848747253418,18.60933303833008,,,,,,12.112951278686523,154.0746808052063,30.02498149871826
ResNet34_MixVPR_agg_0.25_sparsity_0.666_R1_0.901.ckpt,ResNet34_MixVPR,0.666,,6554730496.0,36.34991455078125,134.42391157150269,15.76874256134033,,,,,,11.641955375671388,237.2017741203308,27.79906988143921,,,,,,6.079912185668945,140.303373336792,22.22045660018921,,,,,,0.7004261016845703,134.64676141738892,17.31647253036499,,,,,,10.56056022644043,144.98447179794312,26.32930278778076
ResNet34_MixVPR_agg_0.25_sparsity_0.677_R1_0.900.ckpt,ResNet34_MixVPR,0.677,,6554730496.0,36.34991455078125,130.79882860183716,15.923345088958742,,,,,,10.025715827941896,222.0211386680603,26.276469230651855,,,,,,5.286860466003418,136.1567497253418,21.254777908325195,,,,,,0.5434513092041016,132.22543001174927,16.420555114746094,,,,,,9.201598167419434,140.0004267692566,25.124943256378177
ResNet34_MixVPR_agg_0.50_sparsity_0.064_R1_0.929.ckpt,ResNet34_MixVPR,0.064,,6554730496.0,36.34991455078125,279.57656383514404,34.91201400756836,,,,,,33.068108558654785,398.2867240905762,68.08140277862549,,,,,,17.60425567626953,297.8575110435486,51.63261890411377,,,,,,2.1339893341064453,281.81726932525635,36.730027198791504,,,,,,30.018115043640137,309.5946788787842,64.9301290512085
ResNet34_MixVPR_agg_0.50_sparsity_0.126_R1_0.929.ckpt,ResNet34_MixVPR,0.126,,6554730496.0,36.34991455078125,264.2902135848999,27.315032482147217,,,,,,31.469058990478512,372.9567289352417,58.74911546707153,,,,,,17.111802101135254,282.4681520462036,44.69712972640991,,,,,,1.9335508346557615,266.27219915390015,28.87808084487915,,,,,,28.624796867370605,292.9150104522705,55.93982934951782
ResNet34_MixVPR_agg_0.50_sparsity_0.185_R1_0.925.ckpt,ResNet34_MixVPR,0.185,,6554730496.0,36.34991455078125,251.56785249710083,28.5045862197876,,,,,,29.77464199066162,356.8488359451294,58.311474323272705,,,,,,15.624237060546877,266.9837713241577,44.06888484954834,,,,,,1.8145322799682615,253.9228558540344,30.81461191177368,,,,,,27.41420269012451,278.98205518722534,55.91878890991211
ResNet34_MixVPR_agg_0.50_sparsity_0.241_R1_0.926.ckpt,ResNet34_MixVPR,0.241,,6554730496.0,36.34991455078125,237.60923147201535,25.58368444442749,,,,,,28.191161155700684,360.00514030456543,54.13411855697632,,,,,,14.86363410949707,252.58387327194217,40.40008783340454,,,,,,1.6630887985229492,240.6222939491272,27.811646461486816,,,,,,25.51720142364502,263.1264328956604,51.10088586807251
ResNet34_MixVPR_agg_0.50_sparsity_0.295_R1_0.929.ckpt,ResNet34_MixVPR,0.295,,6554730496.0,36.34991455078125,224.9763011932373,25.668811798095703,,,,,,26.52912139892578,336.91511154174805,52.96357870101929,,,,,,13.885784149169922,238.84183168411255,39.84427452087402,,,,,,1.53656005859375,226.39625072479248,27.089011669158936,,,,,,24.074316024780273,249.0506172180176,49.74312782287598
ResNet34_MixVPR_agg_0.50_sparsity_0.346_R1_0.927.ckpt,ResNet34_MixVPR,0.346,,6554730496.0,36.34991455078125,212.5708818435669,26.672518253326416,,,,,,24.88882541656494,341.60289764404297,52.567243576049805,,,,,,13.0293607711792,225.2724647521973,39.61678743362427,,,,,,1.5366077423095703,213.6143684387207,28.28843593597412,,,,,,22.50947952270508,235.08036136627197,49.181997776031494
ResNet34_MixVPR_agg_0.50_sparsity_0.395_R1_0.921.ckpt,ResNet34_MixVPR,0.395,,6554730496.0,36.34991455078125,200.9285569190979,24.481892585754395,,,,,,23.21176528930664,304.8108220100403,48.87908697128296,,,,,,12.130045890808104,213.22972774505615,37.34015226364136,,,,,,1.4792442321777344,202.45914459228516,26.423001289367676,,,,,,21.142220497131348,222.07077741622925,45.62411308288574
ResNet34_MixVPR_agg_0.50_sparsity_0.441_R1_0.921.ckpt,ResNet34_MixVPR,0.441,,6554730496.0,36.34991455078125,189.55817222595215,23.40373992919922,,,,,,21.505451202392575,296.5150475502014,45.22559642791748,,,,,,11.302781105041504,199.93363618850708,34.59893465042114,,,,,,1.2049436569213867,190.1544451713562,25.018370151519775,,,,,,19.816231727600098,209.37440395355225,43.21997165679931
ResNet34_MixVPR_agg_0.50_sparsity_0.485_R1_0.918.ckpt,ResNet34_MixVPR,0.485,,6554730496.0,36.34991455078125,178.79047393798828,22.496449947357178,,,,,,19.770526885986328,301.91532373428345,42.37637519836426,,,,,,10.37139892578125,189.6848201751709,32.57359266281128,,,,,,1.4260053634643557,180.32516241073608,26.14654302597046,,,,,,18.155670166015625,196.9461441040039,40.6521201133728
ResNet34_MixVPR_agg_0.50_sparsity_0.526_R1_0.918.ckpt,ResNet34_MixVPR,0.526,,6554730496.0,36.34991455078125,169.4165587425232,22.13423252105713,,,,,,18.05734634399414,278.35408449172974,41.1234974861145,,,,,,9.63451862335205,179.52057123184204,31.80156946182251,,,,,,1.1582612991333008,177.06784009933472,26.713073253631592,,,,,,16.692519187927246,186.10907793045044,38.826751708984375
ResNet34_MixVPR_agg_0.50_sparsity_0.565_R1_0.916.ckpt,ResNet34_MixVPR,0.565,,6554730496.0,36.34991455078125,159.19835567474365,20.93125581741333,,,,,,16.802191734313965,285.6165885925293,38.45928907394409,,,,,,8.664488792419434,168.83360147476196,29.697835445404053,,,,,,1.0578155517578125,160.87093353271484,22.43591547012329,,,,,,15.356945991516112,174.55530166625977,36.28820180892944
