,weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,extraction_lat_cpu_bs25,extraction_lat_gpu_bs25,MapillarySLS_R1,MapillarySLS_R5,MapillarySLS_R10,MapillarySLS_map_memory,MapillarySLS_total_memory,MapillarySLS_matching_lat,MapillarySLS_total_cpu_lat_bs1,MapillarySLS_total_gpu_lat_bs1,MapillarySLS_total_cpu_lat_bs25,MapillarySLS_total_gpu_lat_bs25,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,Pitts30k_Val_total_cpu_lat_bs25,Pitts30k_Val_total_gpu_lat_bs25,Pitts30k_Test_R1,Pitts30k_Test_R5,Pitts30k_Test_R10,Pitts30k_Test_map_memory,Pitts30k_Test_total_memory,Pitts30k_Test_matching_lat,Pitts30k_Test_total_cpu_lat_bs1,Pitts30k_Test_total_gpu_lat_bs1,Pitts30k_Test_total_cpu_lat_bs25,Pitts30k_Test_total_gpu_lat_bs25,Nordlands_R1,Nordlands_R5,Nordlands_R10,Nordlands_map_memory,Nordlands_total_memory,Nordlands_matching_lat,Nordlands_total_cpu_lat_bs1,Nordlands_total_gpu_lat_bs1,Nordlands_total_cpu_lat_bs25,Nordlands_total_gpu_lat_bs25,SFU_R1,SFU_R5,SFU_R10,SFU_map_memory,SFU_total_memory,SFU_matching_lat,SFU_total_cpu_lat_bs1,SFU_total_gpu_lat_bs1,SFU_total_cpu_lat_bs25,SFU_total_gpu_lat_bs25,ESSEX3IN1_R1,ESSEX3IN1_R5,ESSEX3IN1_R10,ESSEX3IN1_map_memory,ESSEX3IN1_total_memory,ESSEX3IN1_matching_lat,ESSEX3IN1_total_cpu_lat_bs1,ESSEX3IN1_total_gpu_lat_bs1,ESSEX3IN1_total_cpu_lat_bs25,ESSEX3IN1_total_gpu_lat_bs25,GardensPointWalking_R1,GardensPointWalking_R5,GardensPointWalking_R10,GardensPointWalking_map_memory,GardensPointWalking_total_memory,GardensPointWalking_matching_lat,GardensPointWalking_total_cpu_lat_bs1,GardensPointWalking_total_gpu_lat_bs1,GardensPointWalking_total_cpu_lat_bs25,GardensPointWalking_total_gpu_lat_bs25,agg_rate
0,MixVPR_agg_0.00_sparsity_0.000_R1_0.940.ckpt,MixVPR,0.0,4096.0,8513130496.0,41.50733947753906,599.4123220443726,52.83796787261963,8875.029683113098,636.822509765625,0.82972974,0.8972973,0.92027026,294.859375,336.36671447753906,1.7412257194519043e-06,599.4123237855982,52.83796961384535,8875.029684854324,636.8225115068507,0.90260255,0.97200316,0.9829127,156.25,197.75733947753903,9.067881107330322e-07,599.4123229511607,52.83796877940774,8875.029684019886,636.8225106724132,0.8802817,0.94776994,0.9612676,156.25,197.75733947753903,9.056657552719116e-07,599.4123229500383,52.837968778285386,8875.029684018764,636.8225106712907,0.357971,0.53224635,0.5967391,431.125,472.6323394775391,2.5173860788345336e-06,599.4123245617586,52.83797039000571,8875.029685630485,636.8225122830111,0.6987013,0.9194805,0.96103895,6.015625,47.52296447753906,3.259122371673584e-08,599.4123220769637,52.83796790521085,8875.029683145689,636.8225097982162,0.87142855,0.98571426,1.0,3.28125,44.78858947753906,1.6520619392395018e-08,599.4123220608932,52.837967889140245,8875.029683129618,636.8225097821456,0.265,0.635,0.775,3.125,44.63233947753906,1.4713406562805177e-08,599.4123220590859,52.83796788733304,8875.029683127812,636.8225097803384,0.0
1,MixVPR_agg_0.00_sparsity_0.048_R1_0.930.ckpt,MixVPR,0.048,4096.0,8168969296.0,39.51012802124024,587.7888441085815,55.45651912689209,8799.007773399353,712.0025539398193,0.8243243098258972,0.8918918967247009,0.9135135412216188,294.859375,334.36950302124023,1.721814274787903e-06,587.7888458303959,55.45652084870636,8799.007775121167,712.0025556616337,0.8903785347938538,0.967008411884308,0.9783123135566713,156.25,195.76012802124023,9.05531644821167e-07,587.7888450141132,55.45652003242373,8799.007774304884,712.002554845351,0.8722124695777893,0.94160795211792,0.9562793374061584,156.25,195.76012802124023,9.063750505447388e-07,587.7888450149566,55.45652003326714,8799.007774305728,712.0025548461944,0.3213768005371094,0.4971014559268951,0.5673912763595581,431.125,470.6351280212402,2.51952588558197e-06,587.7888466281074,55.456521646417976,8799.007775918879,712.0025564593452,0.6779220700263977,0.9142857193946838,0.9558441638946532,6.015625,45.52575302124024,3.1406283378601074e-08,587.7888441399879,55.45651915829837,8799.00777343076,712.0025539712257,0.8476190567016602,0.9809523820877076,0.9952380657196044,3.28125,42.79137802124024,1.6826987266540528e-08,587.7888441254086,55.45651914371908,8799.00777341618,712.0025539566464,0.2599999904632568,0.6399999856948853,0.7400000095367432,3.125,42.63512802124024,1.5423297882080078e-08,587.7888441240049,55.456519142315386,8799.007773414776,712.0025539552427,0.0
2,MixVPR_agg_0.00_sparsity_0.091_R1_0.929.ckpt,MixVPR,0.091,4096.0,7851523296.0,37.7209587097168,612.2631311416626,54.773783683776855,8361.853957176208,719.0398597717285,0.8135135173797607,0.883783757686615,0.9094594717025756,294.859375,332.5803337097168,1.719915270805359e-06,612.2631328615779,54.77378540369212,8361.853958896123,719.0398614916438,0.8891955614089966,0.9649053812026978,0.9781808853149414,156.25,193.9709587097168,9.115558862686158e-07,612.2631320532184,54.77378459533274,8361.853958087764,719.0398606832844,0.8733861446380615,0.9404342770576476,0.95671945810318,156.25,193.9709587097168,9.071320295333864e-07,612.2631320487947,54.77378459090888,8361.85395808334,719.0398606788606,0.3192028999328613,0.4811594188213348,0.5539855360984802,431.125,468.8459587097168,2.5205475091934205e-06,612.2631336622101,54.77378620432437,8361.853959696757,719.039862292276,0.6389610171318054,0.8909090757369995,0.948051929473877,6.015625,43.7365837097168,3.8080811500549314e-08,612.2631311797434,54.77378372185767,8361.853957214289,719.0398598098093,0.8476190567016602,0.976190447807312,0.9904761910438538,3.28125,41.0022087097168,1.6657114028930663e-08,612.2631311583198,54.77378370043397,8361.853957192865,719.0398597883857,0.2549999952316284,0.6349999904632568,0.7149999737739563,3.125,40.8459587097168,1.4603137969970705e-08,612.2631311562658,54.77378369838,8361.853957190811,719.0398597863317,0.0
3,MixVPR_agg_0.00_sparsity_0.132_R1_0.926.ckpt,MixVPR,0.132,4096.0,7559600896.0,36.01719665527344,553.291130065918,50.85034370422363,8508.253574371338,674.6542072296143,0.8054053783416748,0.8797297477722168,0.9054054021835328,294.859375,330.87657165527344,1.7205327749252318e-06,553.2911317864507,50.850345424756405,8508.25357609187,674.654208950147,0.8877497315406799,0.965694010257721,0.9783123135566713,156.25,192.26719665527344,9.05700922012329e-07,553.2911309716189,50.85034460992456,8508.253575277038,674.6542081353152,0.8741196990013123,0.9421948194503784,0.9581866264343262,156.25,192.26719665527344,9.064429998397828e-07,553.291130972361,50.85034461066663,8508.25357527778,674.6542081360573,0.3268115818500519,0.4851449131965637,0.5605072379112244,431.125,467.14219665527344,2.519087791442871e-06,553.2911325850058,50.85034622331143,8508.253576890425,674.6542097487021,0.633766233921051,0.8987013101577759,0.948051929473877,6.015625,42.03282165527344,3.1459927558898926e-08,553.2911300973778,50.85034373568356,8508.253574402797,674.6542072610741,0.8523809313774109,0.9809523820877076,0.9809523820877076,3.28125,39.29844665527344,1.5460848808288575e-08,553.2911300813788,50.85034371968448,8508.2535743868,674.6542072450751,0.2399999946355819,0.6299999952316284,0.7850000262260437,3.125,39.14219665527344,1.4563202857971193e-08,553.2911300804811,50.85034371878684,8508.2535743859,674.6542072441774,0.0
4,MixVPR_agg_0.00_sparsity_0.173_R1_0.925.ckpt,MixVPR,0.173,4096.0,7256883296.0,34.323707580566406,576.6043186187744,49.872422218322754,8231.38165473938,704.7436618804932,0.800000011920929,0.8743243217468262,0.9067567586898804,294.859375,329.1830825805664,1.7198789119720458e-06,576.6043203386533,49.87242393820166,8231.381656459258,704.7436636003721,0.8878811597824097,0.9646424651145936,0.9785751700401306,156.25,190.5737075805664,9.057551622390748e-07,576.6043195245296,49.87242312407792,8231.381655645135,704.7436627862484,0.8688380122184753,0.94160795211792,0.9564260840415956,156.25,190.5737075805664,9.057587385177612e-07,576.6043195245331,49.87242312408149,8231.381655645138,704.7436627862519,0.3452898561954498,0.5065217614173889,0.582608699798584,431.125,465.4487075805664,2.5193685293197635e-06,576.604321138143,49.87242473769128,8231.381657258748,704.7436643998617,0.6701298952102661,0.8805195093154907,0.932467520236969,6.015625,40.339332580566406,3.1614303588867186e-08,576.6043186503887,49.87242224993706,8231.381654770994,704.7436619121074,0.8333333134651184,0.9809523820877076,0.9904761910438538,3.28125,37.604957580566406,1.5391111373901367e-08,576.6043186341656,49.87242223371386,8231.38165475477,704.7436618958843,0.2349999994039535,0.6000000238418579,0.75,3.125,37.448707580566406,1.4765858650207522e-08,576.6043186335403,49.87242223308861,8231.381654754146,704.743661895259,0.0
5,MixVPR_agg_0.00_sparsity_0.211_R1_0.925.ckpt,MixVPR,0.211,4096.0,6983908096.0,32.73640441894531,535.1907968521118,49.043822288513184,7838.823676109314,609.3042182922363,0.8013513684272766,0.883783757686615,0.9054054021835328,294.859375,327.5957794189453,1.7203307151794433e-06,535.1907985724425,49.0438240088439,7838.823677829645,609.304220012567,0.883017897605896,0.9638538360595704,0.9760777950286864,156.25,188.9864044189453,9.071171283721924e-07,535.190797759229,49.04382319563031,7838.823677016431,609.3042191993535,0.8681044578552246,0.939700722694397,0.95466548204422,156.25,188.9864044189453,9.45548415184021e-07,535.1907977976603,49.0438232340616,7838.823677054862,609.3042192377848,0.3177536129951477,0.4847826063632965,0.5590579509735107,431.125,463.8614044189453,2.519448399543762e-06,535.1907993715602,49.04382480796159,7838.823678628763,609.3042208116847,0.6311688423156738,0.8779220581054688,0.9272727370262146,6.015625,38.75202941894531,3.0963420867919925e-08,535.1907968830752,49.04382231947661,7838.823676140278,609.3042183231997,0.8428571224212646,0.9857142567634584,0.9904761910438538,3.28125,36.01765441894531,1.6312599182128908e-08,535.1907968684244,49.04382230482578,7838.823676125627,609.3042183085489,0.2249999940395355,0.6100000143051147,0.75,3.125,35.86140441894531,1.4409422874450685e-08,535.1907968665213,49.04382230292261,7838.823676123723,609.3042183066458,0.0
6,MixVPR_agg_0.00_sparsity_0.253_R1_0.925.ckpt,MixVPR,0.253,4096.0,6679879696.0,31.005130767822266,510.4328155517578,48.46835136413574,7916.257619857788,675.014705657959,0.7945945858955383,0.8783783912658691,0.8999999761581421,294.859375,325.86450576782227,1.721181273460388e-06,510.4328172729391,48.46835308531701,7916.2576215789695,675.0147073791403,0.8874868750572205,0.9662197828292848,0.9783123135566713,156.25,187.2551307678223,9.082907438278198e-07,510.43281646004857,48.468352272426486,7916.257620766079,675.0147065662497,0.8710387349128723,0.9419013857841492,0.9564260840415956,156.25,187.2551307678223,9.055119752883912e-07,510.4328164572698,48.46835226964772,7916.2576207633,675.014706563471,0.3442029058933258,0.5159420371055603,0.5905796885490417,431.125,462.1301307678223,2.5211185216903687e-06,510.43281807287633,48.46835388525427,7916.257622378907,675.0147081790775,0.6233766078948975,0.8545454740524292,0.9142857193946838,6.015625,37.020755767822266,3.41266393661499e-08,510.4328155858845,48.46835139826239,7916.257619891915,675.0147056920856,0.8285714387893677,0.9904761910438538,0.9952380657196044,3.28125,34.286380767822266,1.541793346405029e-08,510.4328155671757,48.46835137955368,7916.257619873206,675.014705673377,0.2249999940395355,0.625,0.7549999952316284,3.125,34.130130767822266,1.3862252235412596e-08,510.4328155656201,48.468351377998,7916.257619871651,675.0147056718213,0.0
7,MixVPR_agg_0.00_sparsity_0.290_R1_0.923.ckpt,MixVPR,0.29,4096.0,6399945696.0,29.459583282470703,489.79642391204834,44.91302967071533,7796.638369560242,665.7035732269287,0.7905405163764954,0.8797297477722168,0.8972973227500916,294.859375,324.3189582824707,1.7219793796539309e-06,489.7964256340277,44.91303139269471,7796.638371282221,665.7035749489081,0.8807833790779114,0.9616193771362304,0.977129340171814,156.25,185.7095832824707,9.237837791442872e-07,489.7964248358321,44.91303059449911,7796.6383704840255,665.7035741507125,0.8679577708244324,0.9401408433914183,0.954812228679657,156.25,185.7095832824707,9.06350016593933e-07,489.7964248183983,44.91303057706535,7796.638370466591,665.7035741332787,0.3478260934352875,0.5300724506378174,0.60326087474823,431.125,460.5845832824707,2.517615556716919e-06,489.7964264296639,44.91303218833089,7796.638372077858,665.7035757445443,0.6285714507102966,0.84935063123703,0.9064934849739076,6.015625,35.4752082824707,3.160774707794189e-08,489.79642394365607,44.91302970232308,7796.638369591849,665.7035732585365,0.8095238208770752,0.9809523820877076,0.9809523820877076,3.28125,32.7408332824707,1.5364885330200196e-08,489.7964239274132,44.913029686080215,7796.638369575607,665.7035732422936,0.2300000041723251,0.574999988079071,0.7450000047683716,3.125,32.5845832824707,1.492023468017578e-08,489.7964239269686,44.91302968563557,7796.638369575162,665.703573241849,0.0
8,MixVPR_agg_0.00_sparsity_0.326_R1_0.924.ckpt,MixVPR,0.326,4096.0,6142972096.0,27.99374389648437,487.2063159942627,45.92247009277344,7514.340758323669,622.5084209442139,0.791891872882843,0.8716216087341309,0.8932432532310486,294.859375,322.8531188964844,1.7314136028289796e-06,487.2063177256763,45.92247182418704,7514.340760055083,622.5084226756275,0.8852523565292358,0.9629337787628174,0.9743691086769104,156.25,184.2437438964844,9.063351154327392e-07,487.2063169005978,45.92247099910856,7514.340759230005,622.508421850549,0.8711854219436646,0.9398474097251892,0.9527581930160522,156.25,184.2437438964844,9.062820672988892e-07,487.2063169005448,45.92247099905551,7514.340759229952,622.5084218504959,0.3307971060276031,0.5065217614173889,0.5840579867362976,431.125,459.1187438964844,2.5191611051559445e-06,487.2063185134238,45.92247261193455,7514.340760842831,622.5084234633749,0.6571428775787354,0.8935064673423767,0.9220778942108154,6.015625,34.009368896484375,3.1365156173706056e-08,487.2063160256278,45.92247012413859,7514.340758355034,622.508420975579,0.8285714387893677,0.9952380657196044,0.9952380657196044,3.28125,31.27499389648437,1.5215277671813965e-08,487.206316009478,45.92247010798872,7514.340758338884,622.5084209594291,0.2199999988079071,0.5799999833106995,0.7250000238418579,3.125,31.11874389648437,1.442432403564453e-08,487.206316008687,45.92247010719776,7514.340758338094,622.5084209586382,0.0
9,MixVPR_agg_0.00_sparsity_0.361_R1_0.924.ckpt,MixVPR,0.361,4096.0,5877766496.0,26.54387664794922,474.1933345794678,41.12565517425537,7371.370077133179,609.6475505828857,0.7878378629684448,0.8702702522277832,0.8905405402183533,294.859375,321.4032516479492,1.7227989435195924e-06,474.19333630226674,41.12565689705431,7371.370078855977,609.6475523056847,0.8764458298683167,0.9629337787628174,0.9751577377319336,156.25,182.7938766479492,9.054732322692872e-07,474.193335484941,41.1256560797286,7371.370078038652,609.647551488359,0.8642898797988892,0.9388204216957092,0.9523180723190308,156.25,182.7938766479492,9.0592622756958e-07,474.193335485394,41.1256560801816,7371.370078039105,609.6475514888119,0.3039855062961578,0.4644927680492401,0.5380434989929199,431.125,457.6688766479492,2.520317435264588e-06,474.1933370997852,41.12565769457281,7371.370079653496,609.6475531032032,0.6649350523948669,0.8961039185523987,0.9194805026054382,6.015625,32.55950164794922,3.165900707244873e-08,474.1933346111268,41.12565520591438,7371.370077164837,609.6475506145448,0.8238095045089722,0.9714285731315612,0.9904761910438538,3.28125,29.82512664794922,1.541316509246826e-08,474.1933345948809,41.125655189668535,7371.370077148592,609.647550598299,0.25,0.625,0.7599999904632568,3.125,29.66887664794922,1.4580488204956052e-08,474.1933345940483,41.12565518883586,7371.370077147759,609.6475505974662,0.0
