,method_name,model_memory,Pitts30k_Val_total_memory,Pitts30k_Val_R1,Pitts30k_Val_map_memory
0,ResNet34_NetVLAD,31.354736328125,343.854736328125,0.9323081,312.5
1,ResNet34_MixVPR,36.34991455078125,192.59991455078125,0.899448,156.25
2,ResNet34_GeM,85.20239639282227,163.32739639282227,0.9225815,78.125
3,ResNet34_ConvAP,83.198486328125,239.448486328125,0.9258675,156.25
